悪衣悪食, あくいあくしょく, 衣服や食べ物が粗末であること
口耳講説, こうじこうせつ, 人の話を聞いて、充分に理解しないままにすぐ他の人に話すこと。受け売り
口耳四寸, こうじよんすん, 耳と口との間隔が近いという意味。 聞いたことを、自分では理解できないまま他人に受け売りすること
広大無辺, こうだいむへん, 程度や時間などが、限りなく広くて大きい様子。 主に仏教用語として使われることが多い
口中雌黄, こうちゅうしおう, 自分が発した言葉の誤りを訂正すること。 「雌黄」は、古代中国で使われていた、誤字を塗り消すのに用いた顔料
口頭試問, こうとうしもん, 質問に口頭で答えさせて、学力や人柄を考査する試験。口述試験
交頭接耳, こうとうせつじ, 他の人に聞こえないように小さな声で話をすること。内緒話
黄道吉日, こうどうきちにち, 陰陽道おんようどうの用語で、何事を行うにも吉であり、あらゆる凶悪を避けるとされる日
行動半径, こうどうはんけい, 車、船、飛行機などが、燃料の補給なしで往復できる、片道の距離。航続距離の二分の一を半径とする円のこと
黄髪番番, こうはつはは, 白髪に黄色が混じるほどに歳を重ねた老人のこと
公明正大, こうめいせいだい, 私心がなく、正しく立派であること。 不正や隠し事がないこと
高陽酒徒, こうようのしゅと, 「高陽」は、今の中国の河南省にあった地名。 「酒徒」は酒飲みのこと
古往今来, こおうこんらい, 昔から今まで。 「古往」は昔から
国色天香, こくしょくてんこう, 牡丹の花の別称。国内で最も美しい女性の喩え
黒風白雨, こくふうはくう, 塵や埃を巻き上げる強い風と激しい雨。暴風雨
国利民福, こくりみんぷく, 国家の利益と国民の幸福のこと。 国家、国民のために有益であるような事柄
古今東西, ここんとうざい, 昔から今まで、あらゆる時代のあらゆる場所。 「いつでも、どこでも」という意味
古今独歩, ここんどっぽ, 昔から今に至るまで、匹敵するものがないほど優れていること。 「古今」は昔から今まで
古色古香, こしょくここう, 書画などが古くなり、独特の墨の色と香りを漂わせている様子。優雅な趣のあること
小春日和, こはるびより, 晩秋から初冬にかけての、春のように暖かい晴れた日のこと。 冬の季語
困知勉行, こんちべんこう, 苦しんで学び、努力して物事を実行すること
金輪奈落, こんりんならく, 物事の極限状態。地下の最深部
極楽往生, ごくらくおうじょう, 安らかに死ぬこと。 または死んだ後に極楽浄土に生まれ変わること
五色霜林, ごしきそうりん, 色鮮やかで美しい紅葉の風景。 晩秋の風景の代名詞
五趣生死, ごしゅしょうじ, 仏教用語。全ての生き物が、自らの作った因果によって五つの世界に輪廻転生し、生まれたり死んだりを繰り返すこと
後生大事, ごしょうだいじ, 何かを非常に大切にすること。 もとは仏教用語で、来世の安楽を一途に願って善行を積むこと
五十音順, ごじゅうおんじゅん, 日本語の仮名文字の順序を決める規則。「あいうえお順」とも呼ばれる
五十知命, ごじゅうちめい, 五十歳になって、自分の天命を悟ること。 孔子が自身の人生を振り返って語った言葉が由来
牛頭馬頭, ごずめず, 仏教において、地獄の罪人を取り締まる鬼を意味する
五体投地, ごたいとうち, 両肘両膝と頭を地面に投げ伏して礼拝すること
五風十雨, ごふうじゅうう, 五日に一度風が吹き、十日に一度雨が降るという意味。 気候が穏やかで順調なこと
五分五分, ごぶごぶ, 力関係などに差がないこと。双方とも優劣がないこと
五里霧中, ごりむちゅう, 物事の手がかりが掴めない状態。 方針や見込みが立たず困ること
言語道断, ごんごどうだん, 言葉も出ないほど酷いこと。とんでもないこと
歳寒三友, さいかんさんゆう, 宋代より始まった、中国の文人画で好まれる画題のひとつであり、具体的には松・竹・梅の三つを指す
再三再四, さいさんさんし, たびたび。何度も何度もくり返し
才子佳人, さいしかじん, 才能のある、理想的な男女のこと。 男女のカップルを指して使う
才子多病, さいしたびょう, 才知の優れた人は、体が弱く病気がちであるということ。 「才子」は頭のはたらきが優れている人のこと
造酒童女, さかつこ, 日本の天皇が皇位継承に際して行う宮中祭祀「大嘗祭だいじょうさい」のときに、儀式の先導役を務め、神に供える御神酒おみき...
作文三上, さくぶんさんじょう, 文章を創作するのに適した三つの場所
察言観色, さつげんかんしき, 人の言葉を慎重に聞き、顔つきをよく観察して、相手の性格や考え方を見抜くこと。 人に欺かれない聡明さのこと
五月雨式, さみだれしき, 断続的に物事が行われる状態。 一度で終わらず、途切れながらも何度かに分割し、継続する方法
三寒四温, さんかんしおん, 寒い日が三日ほど続くと、そのあと四日間ぐらい暖かい日が続くということ
三界火宅, さんがいかたく, 仏教用語。迷いと苦しみに満ちた世界を、火に包まれた家に喩えた言葉
山光水色, さんこうすいしょく, 山や海、川などの自然の景色。 「山光」は山の景色
山高水長, さんこうすいちょう, 山がいつまでも高くそびえ立ち、水がいつまでも長く流れているように、聖人君子の功績や名声が後の世まで語り継がれること
三三五五, さんさんごご, あちらに三人、こちらに五人というように、小人数のまとまりになって、それぞれが別々に行動する様子
三思九思, さんしきゅうし, 何度も繰り返して深く考えること。 「三思」も「九思」も、何度も考えるという意味
三思後行, さんしこうこう, 三度考えた後に行動するという意味。 物事を行うときに、熟慮した後、初めて実行すること
山紫水明, さんしすいめい, 山や川のある自然の光景が美しく清らかな様子。 日の光の中で山は紫に染まり、川は澄みきって美しいという意味
三者三様, さんしゃさんよう, 考え方、やり方などが、人それぞれ違うこと
三神一体, さんしんいったい, ヒンドゥー教などで祀られている三神「ブラフマー」「ヴィシュヌ」「シヴァ」は同一の存在であり、それぞれ「創造」「維持」...
三尺秋水, さんじゃくしゅうすい, 剣の異称。研ぎ澄まされた刀が放つ光のこと
三尺童子, さんせきのどうじ, だいたい七～八歳の子供のこと。または無知な者の喩え
山川草木, さんせんそうもく, 自然界の景色や植物の総称
三世因果, さんぜいんが, 仏教用語で、過去・現在・未来の三世にわたって善悪の因果の法則が支配するということ
三千世界, さんぜんせかい, 仏教用語で、この世の全宇宙を表す。「三千大千世界さんぜんだいせんせかい」の略語
三草二木, さんそうにもく, 「三草」は上草、中草、下草の三種類の薬草。「二木」は大樹、小樹の二種類の木
山中暦日, さんちゅうれきじつ, 山奥でのんびりと暮らすこと。 人里離れた山の中で暮らしていると、月日の過ぎるのも忘れてしまうという意味
三人官女, さんにんかんじょ, 雛人形の中で、宮中に仕える女官の姿をした三人一組の人形
三百代言, さんびゃくだいげん, 明治時代に、代言人（弁護士）の資格が無いのに他人の訴訟や裁判を引き受けた人。また、弁護士を軽蔑して呼ぶ言葉
三武一宗, さんぶいっそう, 中国で、仏教徒を迫害した四人の皇帝。 後魏の太武帝 北周の武帝 唐の武宗 後周の世宗
三平二満, さんぺいじまん, 「三」と「二」はともに、数が少ないことを示す。 三でも平安、二でも満足という意味
三位一体, さんみいったい, キリスト教の用語で、神とイエス・キリストと聖霊は、唯一の神が三つの姿となって現れたものであるという考え方
山容水態, さんようすいたい, 山や川の様子。自然の美しい風景
三令五申, さんれいごしん, 何度も繰り返し言い聞かせること。 三度命じ、五度言い聞かせることを意味する
三老五更, さんろうごこう, 高い徳を積んでいる長老のこと。 「三老」と「五更」はどちらも中国の周の時代の長老の異称
思案投首, しあんなげくび, 名案が浮かばずに、首を傾けて考え困っている様子。 「思案」はあれこれと考えること
四海兄弟, しかいけいてい, 人と接するときには真心と礼儀を持って、兄弟のように仲良く親しく交際すべきだという教え
死海文書, しかいぶんしょ, 1947年以降、死海の北西（ヨルダン川西岸地区）にある遺跡ヒルベト・クムラン周辺で発見された写本群の総称
四角四面, しかくしめん, 真四角であること。転じて、非常に真面目で堅苦しい性格こと
四季折折, しきおりおり, 春夏秋冬の、その時その時
四苦八苦, しくはっく, さんざん苦労すること
時雨心地, しぐれごこち, 時雨の降りそうな空模様。 または涙の出そうな悲しい気持ち
四荒八極, しこうはっきょく, 世界の隅々まで、すべての場所のこと
子子孫孫, ししそんそん, 「子孫」を重ねて意味を強めた言葉。子孫の続く限りの末代までを表す
四捨五入, ししゃごにゅう, 求める桁の次の端数が4以下なら切り捨て、5以上なら切り上げて1とし、求める桁に加える計算方法
四書五経, ししょごきょう, 中国において、儒教の経典として尊ばれた代表的な古典の総称。 江戸時代に寺子屋での教育に用いられた
四十八手, しじゅうはって, 相撲における決め技のこと
四十不惑, しじゅうふわく, 四十歳になると、自分の人生に迷わなくなるという孔子の教え
紙上談兵, しじょうだんぺい, 紙の上で兵略を議論するという意味。 理屈ばかりの議論で、実行が不可能であったり、実際の役に立たなかったりすること
四神相応, しじんそうおう, 地理的景観が四神の存在に相応する優れた場所。地上で最良の地勢
死生有命, しせいゆうめい, 人の生死は天命で決まっていて、人の力ではどうすることもできないという意味。 「死生しせい、命めい有あり」と訓読する
四大元素, しだいげんそ, エンペドクレスやアリストテレスなど、古代ギリシャの哲学者たちの間で提唱された理論で、世界を構成するとされる四つの要素...
七花八裂, しちかはちれつ, 花びらが中心から分裂しているように、粉々に砕け散ること
七生報国, しちしょうほうこく, 例え死んだとしても、七度生き返って国のために報いること
七十従心, しちじゅうじゅうしん, 七十歳になって、自分の思い通りに生きても人の道を外すことがなくなった、という孔子の言葉
七十二候, しちじゅうにこう, 古代中国で考案された季節を表す名称。 二十四節気をさらに初候・次候・末候の約5日づつの3つに分けた期間のこと
七転八起, しちてんはっき, 「七回転んで八回起きる」という意味。転じて、何度失敗しても、また起き上がって努力すること
七転八倒, しちてんばっとう, 激しい苦痛に転げまわってもがくこと。 何度も転んだり倒れたりするほど悶え苦しむこと
死中求活, しちゅうきゅうかつ, 追い詰められた絶望的な状況で、難局を打開するために必死に力を尽くし、生き延びる方策を模索すること
七里結界, しちりけっかい, 密教などで、悪魔の侵入を防ぎ修行を邪魔されないように、四方に境界を設けること
失地回復, しっちかいふく, 奪われた土地を取り戻すこと。 失われた地位や勢力などを取り戻すこと
四通八達, しつうはったつ, 道路が四方八方に広がっている街並み。 交通の便が良く、往来が盛んで賑やかな場所の形容
士農工商, しのうこうしょう, 江戸時代の基本的身分制度。武士・農民・職人・商人のこと
四百四病, しひゃくしびょう, 仏教用語で、人間の病気は404種類あるとする説
四分五裂, しぶんごれつ, 秩序なく乱れ、ばらばらに分裂すること。統一感のない様子
四方八方, しほうはっぽう, 前後、左右、上下のあらゆる方向、または東西南北のあらゆる方角のこと
島国根性, しまぐにこんじょう, 他国と交流の少ない島国に住む民族にありがちな、視野が狭く閉鎖的な性質や考え方
四無量心, しむりょうしん, 仏教用語。仏が「慈・悲・喜・捨」の四種の方面に限りなく心を配ること
七五三縄, しめなわ, 特に神事において、神聖な場所の境界を示すために用いたり、魔除けのために張りまわす縄
借刀殺人, しゃくとうさつじん, 兵法三十六計の第三計。 同盟者や第三者が敵を攻撃するよう仕向けること
社交辞令, しゃこうじれい, 社交場などで人とうまく付き合っていくためのお世辞。 リップサービス
射石飲羽, しゃせきいんう, 集中して全力で物事に取り組めば、どんな困難なことでも成し遂げることができるという教訓
舎短取長, しゃたんしゅちょう, 短所は無視して、長所を伸ばすこと。 「短たんを舎すて長ちょうを取とる」と訓読する
主一無適, しゅいつむてき, 精神を集中統一して物事に取り組むこと。 「主一しゅいつにして適ゆかず」と訓読する
集中豪雨, しゅうちゅうごうう, 狭い地域に短時間に集中して降る大雨。 一般にも学術用語にも用いられるが、雨量などに基づいた定量的な定義はない
集中砲火, しゅうちゅうほうか, ある目標に集中的に浴びせられる砲弾。 ある一点に非難や批判を集中的に向けること
守護天使, しゅごてんし, キリスト教において、神が人間を守り導くために一人一人に遣わした天使
酒池肉林, しゅちにくりん, 飲み干せないほどの酒や食べ尽くせないほどの肉を揃えた豪華な宴会。 贅沢三昧な生活をすること
出将入相, しゅっしょうにゅうしょう, 学問と武術の両方の才能を兼ね備えた人
出世街道, しゅっせかいどう, 企業や組織などにおいて、順調に昇進していく立場にあることを指す言葉
酒入舌出, しゅにゅうぜっしゅつ, 酒に酔いすぎると口数が多くなって、失言する恐れがあり、身を滅ぼすことにもなりかねない、ということを戒めた言葉
春花秋月, しゅんかしゅうげつ, 春に咲き乱れる生き生きとした花々と、秋の夜にかかる美しい名月のこと。 四季折々の自然の美の喩え
春夏秋冬, しゅんかしゅうとう, 春、夏、秋、冬の四つの季節。四季
春秋筆法, しゅんじゅうひっぽう, 簡潔な文章の中に批評などの深い意味を隠す表現方法のこと。または、平等で厳しい批評の態度のこと
春風秋雨, しゅんぷうしゅうう, 春の風が吹いて、秋の雨が降るまでの長い年月のこと
上下一心, しょうかいっしん, 身分の上下を問わず、心を一つにして事に取り組むこと。 「上下しょうか心こころを一いつにす」と訓読する
上下天光, しょうかてんこう, 空と水面とが一つになって、明るく輝いている様子。 「上下」は天地、空と水のこと
笑止千万, しょうしせんばん, 非常に馬鹿馬鹿しいこと。滑稽なこと
生死一如, しょうじいちにょ, 仏教用語。生と死は表裏一体で切り離せないものだと教え
生死事大, しょうじじだい, 仏教用語。特に禅宗で大切にされる言葉
生死不定, しょうじふじょう, 人の一生は儚いということ。 人の生死は予測できないものだということ
生生世世, しょうじょうせぜ, いつまでも、永遠に。未来永劫
松風水月, しょうふうすいげつ, 澄んだ心で、自然を鑑賞する心境のこと。 また、すがすがしく高潔な人柄
生老病死, しょうろうびょうし, 避けることができない人生の四つの苦悩のこと。 すなわち、生まれること、老いること、病気をすること、そして死ぬこと
食前方丈, しょくぜんほうじょう, 極めて贅沢な食事。または食べ切れないほど量の多い食事のこと
諸子百家, しょしひゃっか, 古代中国、春秋戦国時代に開花した、多くの思想や学派、またその著作物の総称
食客三千, しょっかくさんぜん, 居候いそうろうの客が大勢いること。数多くの客人を招いて住まわせ、もてなすこと
白河夜船, しらかわよふね, 「白河」は京都の地名で、古くは賀茂川と東山との間の地域を指した
至理名言, しりめいげん, 物事の本質を捉えたすぐれた言葉。 「至理」は極めて正しい道理
四六時中, しろくじちゅう, 二十四時間中。一日中
心機一転, しんきいってん, なにかをきっかけとして、気持ちが良い方向にすっかり変わること
身言書判, しんげんしょはん, 人材を登用する際に、人物鑑定の規準とするもの。 古代中国、唐の時代の官吏登用の人物試験の四つの規準
神色自若, しんしょくじじゃく, 物事に動揺しないこと。 緊迫した状況でも顔色も変えず平然と落ち着いている様子
新進気鋭, しんしんきえい, 新たにその分野に現れて、業界の歴史を塗り替えていくような発展が予想される人物や物事のこと
真実一路, しんじついちろ, 真実を求めて、それを貫いて生きること
真相究明, しんそうきゅうめい, 事件などの原因や隠れた事情を明らかにしていくこと。 真実を突き止めようとすること
心地光明, しんちこうめい, 清く正しく、心の広いこと。 「心地」は心、精神
震天動地, しんてんどうち, 天地を奮い興すほどの出来事。また、その威力が盛んなこと
神仏習合, しんぶつしゅうごう, 神道と仏教の融合。 日本土着の神祇信仰と外来の仏教信仰が結びつき、一つの信仰体系として再構成された宗教現象
自学自習, じがくじしゅう, 他から教わらずに自分一人で勉強すること。独学
自画自賛, じがじさん, 自分で自分のことを褒めること。自画賛
自給自足, じきゅうじそく, 必要なものを自分で自分で生産して、それだけで満ち足りた生活を送ること。 自分の力で衣食住のすべてをまかなうこと
自己満足, じこまんぞく, 客観的な評価に関係無く、自分の状態に満足すること
自業自得, じごうじとく, 仏教用語。自分の行動の報いを自分が受けること
自作自演, じさくじえん, 自分で作り上げた台本や楽曲を、自分自身で演じ、計画から実行までをすべて自分だけで行うこと
自主独立, じしゅどくりつ, 他者からの保護や助力なしに、自分の力で物事を進めて行くこと
事実無根, じじつむこん, 証拠もなく、事実であるという根拠がないこと。根も葉もないこと
事事物物, じじぶつぶつ, あらゆる物事。一つ一つのすべての事柄
自他共栄, じたきょうえい, 他の人と助け合いながら良い社会を作ろうとする教え
自問自答, じもんじとう, 自分で問いかけ、自分で答えること。 自身の言動などを振り返り、過去を反省するときの様子
弱肉強食, じゃくにくきょうしょく, 弱者が強者の犠牲になること。 強者が弱者を餌食にして栄えること
重高長大, じゅうこうちょうだい, 重く、厚く、長く、大きいこと
重厚長大, じゅうこうちょうだい, 重く厚く、長く大きいという意味。 どっしりと重みがあり、巨大なこと
十五志学, じゅうごしがく, 将来を見据え、志す道を決めるべき年齢とされる。 「志学」は、学問を修めようと誓うこと
十全十美, じゅうぜんじゅうび, 完全で欠点が無いこと。 必要な要素がすべてが揃って非の打ち所がないこと
十人十色, じゅうにんといろ, 思考、趣味、性質などが、人によってそれぞれ違うこと。 十人いれば十人とも違っているということ
十年一日, じゅうねんいちじつ, 長い年月の間、何の変哲もなく同じ状態であること、または同じことを繰り返していること
十年一剣, じゅうねんいっけん, 長い間、武術の修練を積むこと。また、武術の修練を積み、力を発揮する機会を待つこと
十年一昔, じゅうねんひとむかし, 時の経つのが早く、世の中の移り変わりが激しいことの喩え
十万億土, じゅうまんおくど, この世界から極楽浄土に至るまでの間に、無数にあるという仏の世界。転じて極楽浄土のこと
樹下石上, じゅかせきじょう, 仏教の修行僧が寝泊まりする「樹の下と石の上」のこと。 そうした境遇にいることの喩え
熟読三思, じゅくどくさんし, 文章を何度も繰り返し読んで、内容をじっくりと考察すること
樹上開花, じゅじょうかいか, 兵法三十六計の第二十九計。 小兵力を大兵力に見せかけて敵を欺あざむく策略
十中八九, じゅちゅうはっく, 十のうち八か九までの割合。 「おおかた」「ほとんど」「たいてい」という意味
自由自在, じゆうじざい, 何事も思い通りになること、思った通りにやれること。 愚ならず痴ならず顛倒せず、無顛倒にして、心は自由自在
上意下達, じょういかたつ, 組織や団体において、上位の者の意志や命令を、下位の者に徹底させること。 「上意」は上の者の意志や命令のこと
情意投合, じょういとうごう, お互いの意志や気持ちがぴったりと通じ合うこと。 「情意」は感情と意志
上級国民, じょうきゅうこくみん, 一般国民とは違う富裕層や上流階級。 また、一般人の理解を超えた言動をする政治家・専門家・官僚等を表す
上昇気流, じょうしょうきりゅう, 上方に向かう空気の流れ。 見通しが明るく順調なことの喩え
上流階級, じょうりゅうかいきゅう, 経済力・権力・教養などの点で、社会の上層にある人々によって構成されている階級
自力更生, じりきこうせい, 他人の力を頼らず自らの力で立ち直ること
人海戦術, じんかいせんじゅつ, 大勢の人を動員して、仕事を成し遂げようとするやり方。 機械などを使わず、人員を次々と投じて作業を行うこと
人間青山, じんかんせいざん, 世の中は広いので、志を果たすためには、故郷を出て活躍すべきだということ
仁者楽山, じんしゃらくざん, 仁徳の備わった人は、欲に動かされず落ち着いているので、動かずに悠然と構える山を愛するものであろう、という意味
人事不省, じんじふせい, 知覚や意識を完全に失うこと。重病や重傷などで意識不明になり、昏睡状態になること
人生行路, じんせいこうろ, 人間の一生。人生という旅路
人面獣心, じんめんじゅうしん, 人の顔をしているが、獣の心を持っているという意味で、冷酷無情な者の喩え。 恩義や人情を知らない人を罵って使う言葉
人面桃花, じんめんとうか, 恋い慕う女性に会えないことを美しく表現した言葉
水光接天, すいこうせってん, 水面に映る月光が、その水面の遥か彼方で空に接していること。 壮大な夜景
水随方円, すいずいほうえん, 四角い器に水を入れれば水も四角い形になり、丸い器に水を入れれば水も円い形になる
水清無魚, すいせいむぎょ, 清らかすぎる水には、かえって魚が住まないという意味で、高潔な人格であっても、度が過ぎて潔癖であると人々に親しまれない...
寸馬豆人, すんばとうじん, 遠くに小さく見える人と馬。 または、絵画の手法で背景として小さく書かれている人と馬
頭寒足熱, ずかんそくねつ, 頭を冷やして足を暖かくすること。健康に良いとされている
晴雲秋月, せいうんしゅうげつ, 秋の澄んだ空に浮かぶ月のこと。 心に汚れがなく、澄んでいることの喩え
星河一天, せいがいってん, 夜空に無数の星が帯状に連なり、川のように輝いて見える様子。 天の川のこと
正言若反, せいげんじゃくはん, 真理にかなった正しい言葉は、一見真実とは反対のことのように聞こえる、という意味
晴耕雨読, せいこううどく, 晴れた日は畑を耕し、雨の日は家で読書をすること。 悠悠自適の気ままな生活を送ること
青山一髪, せいざんいっぱつ, 遥か遠くに見える山の地平線と、青い空の水平線が一つに交わり、まるで一本の髪の毛のように見えること
青松落色, せいしょうらくしょく, 「青松」は、常緑樹である松の木のこと
聖人君子, せいじんくんし, 非の打ち所のない性格で、知識や教養にすぐれた人。 「聖人」は、高潔で尊敬を集める立派な人
正正堂堂, せいせいどうどう, 態度や手段が正しく、立派であること
生生流転, せいせいるてん, 全ての物は絶えず生まれては変化し、移り変わっていくこと。 「生生」は次から次へと生まれていくこと
青銭万選, せいせんばんせん, 青銅製の銭は、質が良いので一万回選び出しても他の粗悪な銭と間違えられることがないこと
生知安行, せいちあんこう, 生まれながらにして人の進むべき道をよく知り、考えることなく心のままにそれを行うこと。聖人の境地
青天白日, せいてんはくじつ, 晴れ渡った青空に太陽が輝いているという意味。 転じて、心にやましいことがないこと
声東撃西, せいとうげきせい, 兵法三十六計の第六計。 陽動によって敵の動きを翻弄し、防備を崩してから攻める策略
正当防衛, せいとうぼうえい, 他人からの不当な暴力行為から身を守る権利
清風故人, せいふうこじん, さわやかな秋の風が吹いてくるのは、昔からの友人が久しぶりに訪ねてくれたようだという意味
清風明月, せいふうめいげつ, 明るく澄んだ月明かりと、清々しい風が心地よい静かな夜。 または、風雅な遊びのことを表す
赤手空拳, せきしゅくうけん, 武器や道具を持たずに素手で戦うこと。自分の力だけで物事を行うこと
世代交代, せだいこうたい, 若い年齢の層が、年配の世代に取って代わること。 組織や集団で、人事が刷新されて若い年齢層が台頭すること
接足作礼, せっそくさらい, 地面に両膝をつき、両手で相手の足の甲に触れ、自分の額を大地につける礼拝法。頭面礼足
雪中四友, せっちゅうしゆう, 冬に雪の中で咲く四種の花のこと。初春の頃の画題とされる
雪中送炭, せっちゅうそうたん, 雪の中で寒さに凍えている人に炭を送ること。転じて、困っている人に援助の手を差しのべることを意味する
切問近思, せつもんきんし, 理解が難しいことを、身近な問題として取り上げて熱心に考えること。 「切せつに問いて近く思う」と訓読する
世道人心, せどうじんしん, 世の中の道徳と、それを守る人たちの心。 「世道」は人が世の中で守るべき道のこと
千客万来, せんきゃくばんらい, 多くの客が入れ代わり立ち代わり入って来て商売が繁盛すること
先義後利, せんぎこうり, 道義を優先して利益を後回しにすること。 商業道徳、企業倫理の基本理念
千軍万馬, せんぐんばんば, 規模の大きな軍隊のこと。 また、戦いの経験を多く積んでいる人物のことで、人生経験が豊富な人物のたとえ
千言万語, せんげんばんご, 非常に多くの言葉。 また、たくさんの言葉を話すこと
千差万別, せんさばんべつ, たくさんの物事が、それぞれ様々な違いがあること。 類義語：「千種万様せんしゅばんよう」
千山万水, せんざんばんすい, 多くの山と多くの川。 または旅路が長く険しいことの形容
千思万考, せんしばんこう, 様々に思い巡らすこと。何度も深く考えること
千秋万古, せんしゅうばんこ, 永遠の歳月。長い長い年月のこと
千秋万歳, せんしゅうばんざい, 永遠。長寿を祝う言葉
先聖先師, せんせいせんし, 「先聖」は昔の聖人。 「先師」は聖人の教えを広めるのに大功のあった人
先祖伝来, せんぞでんらい, 先祖から代々伝わっていること
千態万状, せんたいばんじょう, 様々な状態のこと。 また、様々に形状や様子が変化すること
先知先覚, せんちせんかく, 人々より先に道理を理解すること。 または卓越した学識を有している人のこと
先手必勝, せんてひっしょう, 戦いの局面で、相手よりも先に行動を起こせば、必ず勝てる状況であること
千波万波, せんぱばんぱ, 絶え間なく次々と押し寄せてくる波。多くの波紋
千変万化, せんぺんばんか, 物事や状況が目まぐるしく様々に変化すること
千方百計, せんぽうひゃっけい, あれこれと工夫を巡らすこと。 あらゆる手段、方策を尽くすこと
千万無量, せんまんむりょう, 推し量ることもできないほどに数や量の多いこと。 「千万」は数が多いこと
千門万戸, せんもんばんこ, 非常に多くの家が隙間もないほどに集まっていること
先憂後楽, せんゆうこうらく, 政治家は、人々よりも先に国のことを心配し、人々が楽しんだ後で自身も楽しむべきだということ
先用後利, せんようこうり, 先に使ってもらい、のちにその分の代金をもらい利益を得ること。 代表的な事例として「富山の薬売り」が挙げられる
千里結言, せんりけつげん, 遠く離れた場所の友人と結んだ約束のこと。 「千里」は道のりの非常に遠いこと
千里同風, せんりどうふう, 千里の彼方、遥か遠くまで同じ風が吹いているという意味で、世の中が平和に治まっていることの喩え
千慮一失, せんりょいっしつ, 立派な賢者でも、失敗や誤りが一つはあるということ
千両役者, せんりょうやくしゃ, 江戸時代。歌舞伎役者の中でも特に人気を誇り、一年間の給金が千両を超える程の高所得の役者をこう呼ぶようになった
前後不覚, ぜんごふかく, 物事の前後がわからなくなるほど、正常な意識を失うこと
全生全帰, ぜんせいぜんき, 親から授かった肉体を傷つけずに、一生大切にすることが本当の親孝行であるということ
前代未聞, ぜんだいみもん, 今まで聞いたこともない珍しいこと。または程度の甚はなはだしいこと
全知全能, ぜんちぜんのう, あらゆることを理解し実行できる能力。神の能力
前程万里, ぜんていばんり, これから先の目的地までの道のりが遠く長いこと。 また、将来に大きな可能性が広がっていること
全力投球, ぜんりょくとうきゅう, 野球で、投手が全力で投球すること。 転じて全力を尽くして物事に取り組むこと
草行露宿, そうこうろしゅく, 草の生い茂った険しい場所をかき分けて野宿するという意味で、非常に苦しい旅をすること
草根木皮, そうこんぼくひ, 漢方薬で用いられる原料。 または食糧飢饉で草の根や木の皮のような食糧しかないこと
相思相愛, そうしそうあい, 男女が互いに慕い合い、愛し合っていること
草頭天子, そうとうてんし, 強盗団の首領。 「草頭」は草頭露の略で、草葉の先の露
走馬看花, そうばかんか, 物事の表面だけを見て、本質を理解するまで至らないこと。 うわべの理解だけで満足していること
争名争利, そうめいそうり, 名誉や利益を争って奪い合うこと。 「名を争い利を争う」と読み下す
草木皆兵, そうもくかいへい, 相手の勢いなどに恐れるあまり、錯覚して草や木まですべて敵兵に見えるという意味
巣林一枝, そうりんいっし, 鳥は、林の中にある木の、たった一本の枝に巣を作るという意味。 転じて、収入に相応しい暮らしで満足すること
素車白馬, そしゃはくば, 白い車と白い馬のことで、古代中国で葬儀に用いられた馬車を指す
損者三友, そんしゃさんゆう, 交際して損をする三種の友人のこと。 人に媚びへつらう人、人あたりは良いが誠実でない人、口先ばかりの人を言う
造反有理, ぞうはんゆうり, 体制に背くことにも、それなりの道理があること。 毛沢東が革命戦争中に用いた言葉
大安吉日, たいあんきちじつ, 陰陽道で取り入れられている暦「六曜」の一つ。物事を行うのに良いとされる日
大隠朝市, たいいんちょうし, 真に悟りを得た者は、山中などで隠遁生活を送るのでなく、人の集まる俗世間で、一般の人と同じように暮らしているものだとい...
大快人心, たいかいじんしん, 世間の人を愉快・痛快な気分にさせること。 主に、悪人や悪事などが厳しく糾弾されたときに用いられる
大器小用, たいきしょうよう, 大きな器を小さな用途に使うという意味
大義名分, たいぎめいぶん, 人としてまた国民として守るべきことがら。何か事をするにあたっての根拠
体元居正, たいげんきょせい, 善や徳を心がけて正しい立場に身をおくこと。 「元げんを体たいして正せいに居おる」と訓読する
大山鳴動, たいざんめいどう, 事前の騒ぎばかりが大きくて、実際の結果が小さいこと。 「泰山鳴動」とも書くが、中国の「泰山」を指すわけではない
大所高所, たいしょこうしょ, 個々の細部にとらわれない大きな観点のこと。偏見や私情を捨てた広い視野
台風一過, たいふういっか, 台風が通り過ぎた後、空が晴れ渡りよい天気になること。 転じて、騒動が収まり平穏に戻ること
高手小手, たかてこて, 重罪人を逃亡できないように、手を後ろに回し、首から縄をかけ、肘から手首まで厳重に縛り上げること
度徳量力, たくとくりょうりき, 自分や他人の人望や力量を確かめて、行動を起こすこと。 「度」と「量」はどちらも測るという意味
多芸多才, たげいたさい, 多くの分野で豊かな才能や技術を持っていること。 「多芸」は、多くの技芸や技能を持っていること
多種多様, たしゅたよう, 種類や性質や特徴が様々であること
多事多難, たじたなん, 事件や困難が多く苦労が絶えないこと。 「多事」は事件や災害などが多く世間が騒がしいこと
多情多感, たじょうたかん, 感受性が豊かで物事に敏感なこと。 同義語：「多感多情」
達人大観, たつじんたいかん, 物事の道理に広く通じている人は、物事の全体を客観的に見渡すことができるということ。 「達人は大観す」と訓読する
他人行儀, たにんぎょうぎ, 親しい間柄なのに、他人に対するように、よそよそしく振舞うこと。 他人に対して遠慮するような接し方をすること
他力本願, たりきほんがん, 仏教用語で、本来は「阿弥陀仏の力によって救済されること」を意味するが、近年では「他人の力をあてにすること」「他人任せ...
