悪衣悪食, あくいあくしょく, 衣服や食べ物が粗末であること
赤心奉国, せきしんほうこく, 誠意を込めて国のために尽くすこと。「赤心」は嘘のない本当の心という意味。
千古不易, せんこふえき, 永遠に変わらないこと。「千古」は大昔、または、遠い昔から現在まで長い時間のこと。「不易」は変わらないという意味。
大逆無道, たいぎゃくむどう, 道理や人の道からひどく外れた常軌を逸した行為のこと。「大逆」は君主や親を殺すなどの極悪な行い。「無道」は道理を無視した行いのこと。
弾丸雨注, だんがんうちゅう, 雨が激しく降るように、弾丸が降り注ぐこと。
朝過夕改, ちょうかせきかい, 犯した過ちをすぐに改めることのたとえ。朝に犯した過ちを夕方には改めるという意味から。
朝観夕覧, ちょうかんせきらん, 朝に見て、夕方にも見ること。絵画などの芸術品を何度も見て楽しむことをいう言葉。
朝生暮死, ちょうせいぼし, 命が短いこと。虫の蜉蝣などの成虫は寿命が一日しかなく、それらのことを言った言葉で、朝に生まれて、夜には死ぬということから、人生の儚さをいう言葉。
天災地変, てんさいちへん, 自然が変化することが原因で起こる様々な災いのこと。地震や台風、落雷、洪水、津波などの災害をいう。
頭髪上指, とうはつじょうし, 激しく怒り、髪の毛が逆立つこと。「上指」は上の方向を示すこと。
万世一系, ばんせいいっけい, 一つの血筋がいつまでも続いていくこと。「万世」は永遠、いつまでもという意味。「一系」は同じ家系のこと。
物我一体, もつがいったい, 仏教語で他の人と自分が一つになり、他者も自分もない境地のこと。
文章絶唱, ぶんしょうのぜっしょう, 非常にすぐれた文章や詩歌のこと。「絶唱」はこれ以上ないほどにすぐれた文章や詩歌のこと。
放言高論, ほうげんこうろん, 思ったことをそのまま言って、議論すること。「放言」は思いついたことを好き放題に言うこと。「高論」はすばらしい議論という意味。
末法思想, まっぽうしそう, 釈迦入滅から五百年を正法、そのあとの千年を像法、そのあとの一万年を末法といい、末法には仏の教えだけが残って悟りを開ける修行者がいなくなり、仏法が廃れ世の中が混乱するとされる歴史観のこと。
巻土重来, けんどちょうらい, 敗北や失敗によって一度は落ちた勢いを、再び取り戻して反撃することのたとえ。一度静まった土煙が、再び巻き上げられるという意味から。
浅学非才, せんがくひさい, 学問や知識が浅く、才能や能力が乏しいこと。自分のことを謙遜していう言葉。
普天卒土, ふてんそつど, 天の覆う限り、地の続く限りのすべての地。天下至る所。
青眼白眼, せいがんはくがん, 好き、嫌いで変わる目つき。親しい人には青眼（くろめ）を出し、嫌いな人には白眼（しろめ）をむく。
夜雨対床, やうたいしょう, 兄弟関係や友人関係が良好で、仲むつまじいことのたとえ。夜、雨の音を聞きながら、兄弟が寝台を並べて仲よく眠るという意味から。
十羊九牧, じゅうようきゅうぼく, 人口の割りに役人が多すぎることのたとえ。十頭の羊に九人の羊飼いという意味から。
愛月撤灯, あいげつてっとう, 月の光を愛すると、灯燭の明かりを消したくなるという意味。 特定の事物に対する愛情が激しいことを表す
相碁井目, あいごせいもく, 何事においても人の実力には大きな違いがあることの喩え。 「相碁」と「井目」はいずれも囲碁の専門用語
哀糸豪竹, あいしごうちく, 悲しげな音を出す琴と、明るく力強い音を出す笛のことで、音色が悲壮で人を感動させる様子を表す
愛執染着, あいしゅうぜんちゃく, 男女の愛欲の執着。異性に対する強い欲望にかられること
愛多憎生, あいたぞうせい, 人から受ける愛情も度を過ぎると、そのために第三者の憎しみや妬みを招き、身の破滅のもとになるので、人の愛情に甘え過ぎて...
愛別離苦, あいべつりく, 仏教用語で、「四苦八苦」のうちの１つ
青息吐息, あおいきといき, 非常に困ったときに出す元気のないため息
悪因悪果, あくいんあっか, 悪いことをすれば、必ず悪い結果や報いが生じるということ
悪逆非道, あくぎゃくひどう, 人の道を外して邪よこしまであること。比類のないほどの悪行のこと
悪逆無道, あくぎゃくむどう, 度の過ぎた酷い悪事を行うこと。 残酷で無惨なこと
悪酔強酒, あくすいきょうしゅ, 望んでいることと、実際に行っていることが食い違っていること。 酔うのを嫌がりながら、無理をして酒を飲むという意味
悪戦苦闘, あくせんくとう, 困難を乗り越えようと、苦しみながら一心に頑張ること
悪徳商法, あくとくしょうほう, 販売者が不当な利益を得るような、社会通念上問題のある商売方法の通称。 悪質商法
悪婦破家, あくふはか, 夫を大切にしない悪妻は、家族の不仲の原因になって、家庭を崩壊させるという意味。 結婚相手は慎重に選べという教訓
悪木盗泉, あくぼくとうせん, どんなに苦しくても道理を外れた行いはしないこと。また、悪事には決して近付くなという教え
可惜身命, あたらしんみょう, 仏教用語。体や命を大切にすること
悪漢無頼, あっかんぶらい, 乱暴で信頼できない男性。 「悪漢」は字のごとく悪い男のこと
暗雲低迷, あんうんていめい, 良くない事が起こりそうな気配がすること。 黒雲が低く垂れ込め、今にも雨が降り出しそうな様子
安居危思, あんきょきし, 平和な時にも、最悪な事態を想定して備えておくことが大切であるということ。 諺の「備えあれば患いなし」と同義
晏子高節, あんしこうせつ, 脅迫や暴力に屈しない気高い志を意味する
安車蒲輪, あんしゃほりん, 老人をいたわり、手厚くもてなすこと。 また、賢人を優遇すること
安常処順, あんじょうしょじゅん, 平穏な日々に慣れ、順境に身をおく状況。無風状態の平和でのどかな暮らしをいう
暗箭傷人, あんせんしょうじん, 闇討ちをしたり、ひそかに中傷したりする卑劣な行いのこと。 「暗箭」は闇の中から矢を射ることを意味する
暗中飛躍, あんちゅうひやく, 人に知られないように密かに計画を立てて、見事な活躍をすること。 「暗躍」は、この熟語を略してできた言葉
暗中模索, あんちゅうもさく, 先が見えず、手がかりも掴めない状況で、様々な行動に取り組んで事態を打開しようとすること。 別表記：「暗中摸索」
暗闘反目, あんとうはんもく, 表立たずに水面下で対立すること。密かに睨み合うこと
安如泰山, あんにょたいざん, 中国の山東省にある名峰、泰山たいざん。その山のように構えた揺るぎない安定した様子を表す
安穏無事, あんのんぶじ, 世の中が穏やかで、これといった事件や事故がなく、平和なこと。 「安穏」は安らかな様子、穏やかな様子
安分守己, あんぶんしゅき, 身の程をわきまえて生き、高望みしないこと
以逸待労, いいつたいろう, 兵法三十六計の第四計。 逸を以て労を待つ
易往易行, いおういぎょう, 極楽往生は簡単で、そのための修行も容易であるという浄土宗の教え
位階勲等, いかいくんとう, 国家が、勲功や功績のあった者を賞するために与えた等級
衣冠盛事, いかんせいじ, 名門の家に生まれて功績をあげ、その家の盛んな名声を引き継ぐという意味
遺憾千万, いかんせんばん, 思いどおりに事が運ばず、非常に残念なこと
衣冠束帯, いかんそくたい, 昔の貴族や官僚が公事で着用した礼装のこと。 公卿の正装
意気昂然, いきこうぜん, 意気込みが盛んな様子。 いかにも誇らしげに振る舞うこと
意気消沈, いきしょうちん, 元気をなくして沈み込むこと。 積極的な気持ちが失せて消極的になっている様子
意気自如, いきじじょ, 物事に驚いたり恐れたりせず、気持ちが普段と変わらず落ち着いた精神状態を維持していること
意気阻喪, いきそそう, 意気込みを無くし、元気を失う様子。 「意気」は気力や気概
意気揚揚, いきようよう, 気持ちが高揚し、いかにも誇らしげに振る舞う様子。 「意気」は、元気・気概・意気込み
夷険一節, いけんいっせつ, 現在の状況や未来の運命が、平穏で楽しいものであろうと、また険しく厳しいものであろうと、節操を変えず信念を貫き通すこと...
意志堅固, いしけんご, 目的を果たそうとする思いが並外れて強いこと。 「意思」は物事をやり抜こうとする心
意志薄弱, いしはくじゃく, 意志が弱く、決断力や忍耐力に欠けること。 他人の言葉や行動の影響を受けやすいこと
衣繍夜行, いしゅうやこう, 奇麗な刺繍の衣服を着て夜道を歩くこと。成功しても人に知られないことの喩え
以升量石, いしょうりょうこく, 小人物・凡人の狭い心では大人物・賢人の大きな心を量り知ることは難しいということ
以身殉利, いしんじゅんり, 利益や欲望のために身を捨てることへの戒め。 つまらない人間は、自分の利益や欲望のために生きるということ
衣帯不解, いたいふかい, 一つの物事に不眠不休で集中すること。 衣服を着替えることもせず、熱中して取り組むこと
一意攻苦, いちいこうく, 心を打ち込んで、苦しみを乗り越えて努力すること。 「一意」は一途いちずに、一心にという意味
一栄一辱, いちえいいちじょく, 人は社会の状況などによって、繁栄することもあれば衰退することもあるという意味
一行三昧, いちぎょうざんまい, 仏教用語で、一つの修行方法に専心すること。 また何かを行うとき、一つのやり方を決め、迷うことなく専念すること
一言芳恩, いちごんほうおん, 声をかけてもらった、ちょっとした一言を忘れずに感謝すること。 また、一声を賜った恩に報い、その人に従い仕えること
一汁一菜, いちじゅういっさい, 非常に粗末な食事の喩え。 現在では日本の伝統食を踏襲した健康的な食事という意味で使われることもある
一族郎党, いちぞくろうとう, 血縁のある同族と家来たち。家族や関係者の全員
一念通巌, いちねんつうがん, 確固たる信念と真剣さがあれば、どんなことでも成し遂げられるということの喩え。 「一心岩をも通す」とも言われる
一罰百戒, いちばつひゃっかい, 罪を犯した一人の者を罰して、それを多くの人の戒めとすること
一望千頃, いちぼうせんけい, 一目で遥か彼方まで見渡すことができること。また、広々と遠くまで見渡せる美しい景色の喩え
一望無垠, いちぼうむぎん, 一目でかなたまで広々と見渡されること。見晴らしの良い景色をいう
一枚看板, いちまいかんばん, 他に代わりのないもの。大勢の中の中心人物
市松模様, いちまつもよう, 二色の正方形を互い違いに並べた模様
一味徒党, いちみととう, 同じ目的を果たすために集まり、結ばれた仲間。 主に悪事に加わる仲間や集団を意味することが多い
一網打尽, いちもうだじん, 網を一投しただけで、そこにいる全ての魚や鳥などを捕らえること
一毛不抜, いちもうふばつ, 自分の毛を一本も抜こうとしないという意味で、非常に物惜しみすること、非常にけちな人、利己的な人の喩え
一目瞭然, いちもくりょうぜん, 一目見ただけで、はっきりと分かること。分かりきっていること
一夜乞食, いちやこじき, 金持ちが急に没落して貧乏になること
意中之人, いちゅうのひと, 心の中で密かにに想いを寄せている人。特に恋愛対象や、仕事などの適任者の候補として挙げている人を指すときに用いる
銀杏黄葉, いちょうもみじ, 黄色く色づいた銀杏いちょうの葉。 俳諧・俳句などで秋の季語として使われる
一労永逸, いちろうえいいつ, 一度苦労すれば、その後は長く恩恵を得られ、安定した生活を送れること
一攫千金, いっかくせんきん, ひと掴みで大金を得るという意味で、一度に巨額の利益を得ることの喩え
一家眷属, いっかけんぞく, 家族と親族、血縁者のこと。一族
一家団欒, いっかだんらん, 家族全員が集まり、仲良く語り合って時を過ごすこと。家族団欒
一竿風月, いっかんふうげつ, 一本の釣り竿を持って、自然の中で悠悠自適に過ごすこと
一喜一憂, いっきいちゆう, ある物事の状況が変化するたびに、喜んだり心配したりすること。 周囲の状況に振り回され、気持ちが落ち着かないこと
一気呵成, いっきかせい, 物事を中断せずに、最後まで成し遂げてしまうこと。 特に文章を一気に書き上げることを指す
一饋十起, いっきじっき, 一回の食事の間に、十度も席を立ち上がるという意味。 熱心に賢者を求め迎えることの喩え
一丘一壑, いっきゅういちがく, あるときは丘に、あるときは谷に。 俗世から離れ、自然の中に身を置き、風流・風雅な生活を楽しむこと
一虚一盈, いっきょいちえい, 常に変化し一定を保つことなく、予測しにくいこと。 虚しいときもあれば、満ちることもあるという意味
一結杳然, いっけつようぜん, 文章が終わった後にその余韻が残る様子。 「一結」は文章をいったん締めくくること
一顧傾城, いっこけいせい, 絶世の美女の喩え
一壺千金, いっこせんきん, 普段は価値のないものでも、時と場合によっては非常に役に立つことの喩え
一糸一毫, いっしいちごう, ごく僅わずかなものの喩え。 「一糸」は一本の糸のこと
一視同仁, いっしどうじん, 親しい人、あまり付き合いのない人に関わらず、誰をも差別せず、すべての人を平等に見て同じように慈しみ大切にすること
一瀉千里, いっしゃせんり, 物事の進み方が非常に速いこと。 弁舌や文章が滑らかに進むこと
一觴一詠, いっしょういちえい, 酒を飲みながら詩を歌って、風流に楽しむこと。 同義語：「一詠一觴」
一生懸命, いっしょうけんめい, 物事に命がけで真剣に取り組むこと。 「一所懸命」が転じた言葉
一将万骨, いっしょうばんこつ, 一人の将軍が功名を立てる影には、多くの兵卒の戦死した後の骨が積み重なっているという意味
一触即発, いっしょくそくはつ, ちょっと触れただけで、すぐに爆発しそうな状態を意味する。 非常に緊迫している状況
一所懸命, いっしょけんめい, 物事に命がけで真剣に取り組むこと
一寸光陰, いっすんこういん, ほんのわずかの時間。 わずかな時間を大切にしなさいという戒めに使う
一寸丹心, いっすんたんしん, 偽りのない真心。 自分の真心を謙遜して表す言葉
一寸法師, いっすんぼうし, 日本の伽話のひとつ。 現実の世界には見られない背の低い人
一世風靡, いっせいふうび, 同じ時代の多くの人々に広く知れ渡って流行すること。 一般的に「一世を風靡する」と用いる
一世木鐸, いっせいぼくたく, 人々を正しく導く指導者。社会の指導者
一致団結, いっちだんけつ, 多くの人々が一つの目的に向かって心を合わせ、協力して事を行うこと
一張一弛, いっちょういっし, 盛んになったり、衰えたりすること
一擲千金, いってきせんきん, 豪勢な振る舞いをすること、思いきった大胆な行動の喩え。 一度に惜しげもなく大金を使うことを指す
一登竜門, いっとりゅうもん, 有力者に認められると、急激に世間の評価も高まること
一杯一杯, いっぱいいっぱい, 少しの余裕もない状態や様子を表す言葉。 本当にぎりぎりな限度
一敗塗地, いっぱいとち, 勝負に完全に負けること。 「一敗いっぱい、地ちに塗まみる」と訓読する
一髪千鈞, いっぱつせんきん, 極めて危険な状態の喩え。 一本の髪の毛で千鈞もの重さのものを引くという意味
一筆勾消, いっぴつこうしょう, 一筆で一気に消し去ってしまうこと。 物事や関係を完全に取り消してやめてしまうことを意味する
一筆抹殺, いっぴつまっさつ, 一筆で記録を全て消し去るという意味。 過去に積み重ねた功績を考慮せずに、全てを否定すること
一顰一笑, いっぴんいっしょう, わずかな表情の変化。 ちょっと顔をしかめたり、ちょっと笑ったりすることを意味する
意到筆随, いとうひつずい, 詩文などを作るとき、心のまま自然に筆が進むこと。 一般に「意い到いたりて筆ふで随したがう」と訓読する
以毒制毒, いどくせいどく, 毒を消すのに他の毒を用いるという意味。 悪を滅するために他の悪を使うこと
田舎大尽, いなかだいじん, 田舎の金持ち。 田舎から出てきて、遊郭などで豪遊する者
以肉去蟻, いにくきょぎ, 蟻の好きな肉で蟻を追い払おうとすると、かえって無数の蟻が集まってくる。 方法を間違うと逆効果を招くということ
衣鉢相伝, いはつそうでん, 弟子が師の教えを受け継ぐこと。 または、先人から業績や事業を引き継ぐこと
倚馬七紙, いばしちし, 素晴らしい文章を素早く書き上げる能力。文章の天才
意馬心猿, いばしんえん, 仏教用語で、心が混乱している様子を「暴れ回る馬」や「騒ぎ立てる猿」に喩えた言葉
移風易俗, いふうえきぞく, 習慣や風俗をより良い方向に改めること。 「風ふうを移うつし俗ぞくを易かう」と訓読する
遺風残香, いふうざんこう, 過去の聖人や偉人の優れた風俗の名残なごり。 「遺風」は後世に残る先人の教え
威風堂堂, いふうどうどう, 態度や雰囲気に威厳が満ちあふれて立派な様子を意味する。 「威風」は威厳に満ちている様子
緯武経文, いぶけいぶん, 学芸と武術の両方を重んじて、政治の土台にすること。文武の両道を兼ねた政治の理想的姿
以弁飾知, いべんしょくち, 口先の弁舌で自分の知識を飾り立てること。 実力がないのに巧みな話術で知識があるように見せかけること
以暴易暴, いぼうえきぼう, 暴力によって暴力を制すること。 統治者が交替しても暴虐な統治に変わりはないということ
以貌取人, いぼうしゅじん, 人の能力や言動を考慮しないで、容貌だけを見て人を採用すること。顔つきで人を判断すること
依流平進, いりゅうへいしん, 年齢や入社した順番に昇進すること。 「流れに依りて平進す」と訓読する
異類異形, いるいいぎょう, 化物や妖怪の姿。 この世のものとは思えぬ怪しい姿をしたもの
飲灰洗胃, いんかいせんい, 胃袋の中を灰で洗い清めるように、自分の過去を悔い、心を改めて出直すこと。 「灰を飲んで胃を洗う」と訓読する
因果応報, いんがおうほう, もとは仏教用語で、「善い行いが幸福をもたらし、悪い行いが不幸をもたらす」ということ
因機説法, いんきせっぽう, その場その場に対応して仏法の真理を悟らせようとする説法。 仏教の言葉で、「機に因りて法を説く」と訓読する
飲泣呑声, いんきゅうどんせい, 溢れそうな涙を飲み込み、泣き声の出るの耐えること。 悲しみや苦しみ、怨みを我慢する様子
韻鏡十年, いんきょうじゅうねん, 理解することが極めて難しいこと
隠公左伝, いんこうさでん, 勉強や読書などが長続きせず、途中で諦めてすぐに辞めてしまうこと。 隠公は、紀元前の春秋時代の魯の国王
引縄批根, いんじょうへいこん, 力を合わせて、敵対者や他人を徹底的に排斥すること。 裏切った相手に報復して恨みを晴らすこと
陰徳善事, いんとくぜんじ, 見返りを期待せず、人に知られないように密かに善行を施すこと。 近江商人の経営理念として知られている
陰徳陽報, いんとくようほう, 人知れず善行を積めば、必ず良い報いとなって現れてくるという意味
隠忍自重, いんにんじちょう, 我慢して軽々しい行動をしないこと。 慎重な態度、言動
因縁生起, いんねんせいき, 仏教において、真理を表す言葉。釈迦の教えの中核のひとつ
隠蔽工作, いんぺいこうさく, 真実を隠す目的で、密かに様々な根回しを行うこと
引喩失義, いんゆしつぎ, 都合の良い前例や悪い比喩を持ち出して本来の正しい意義を見失うこと。 「喩を引きて義を失す」と読み下す
有為転変, ういてんぺん, 仏教用語で、この世は常に移り変わり、とどまることなく変化するものだということ。 同義語：「有為無常ういむじょう」
羽翮飛肉, うかくひにく, 軽い羽でもそれが集まれば、重い肉を空に浮かべて飛ばすことができるという意味で、小さなものでも数多く集まれば大きな力に...
羽化登仙, うかとうせん, 古代中国の神仙思想で、人間に羽が生えて仙人になり天に昇ること
浮草稼業, うきくさかぎょう, 浮き草のように転々として一つの場所に落ち着かず、各地を渡り歩く職業。また、その生活
有卦七年, うけしちねん, 幸運の年まわり。調子のいい喩え
于公高門, うこうこうもん, 人知れず善行を積んだ者の子孫は繁栄することの喩え
右顧左眄, うこさべん, 右か左か決めかねて迷うように、人の思惑など周りのことばかり気にして決断を躊躇うこと
雨後春筍, うごしゅんじゅん, 雨が降った後に沢山生え出るタケノコのように数が多いこと
有相執著, うそうしゅうじゃく, 仏教用語で、目に見える姿形に心がとらわれて、その本質を理解していないことを表す
有象無象, うぞうむぞう, 数だけが多く、役に立たない物や人が集まっていること。 仏教用語の「有相無相」に由来する言葉
有智高才, うちこうさい, 仏教用語。生まれつき頭の働きがよく、学習によって得た知識も優秀なこと
禹湯文武, うとうぶんぶ, 古代中国の伝説的な四人の王
烏白馬角, うはくばかく, 「烏白」は頭の色が白いカラス。 「馬角」は角の生えている馬
盂方水方, うほうすいほう, 四角い容器に水を入れると、水も四角になるように、上に立つ人の行いを下の人も真似ることの喩え
羽翼既成, うよくきせい, 物事の組織や基礎ができあがり、いまさら動かしようのないこと。 「羽翼既に成る、動かし難し」を略した四字熟語
雨露霜雪, うろそうせつ, 様々な気象変化のこと。雨あめと露つゆと霜しもと雪ゆき
雲烟飛動, うんえんひどう, 雲や霞が飛動するように筆勢が力強い文字の喩え。または人生の躍動の比喩にも用いられる
運勘技根, うんかんぎこん, 成功する者に必要な４つの要素。 将棋界の実力制第四代名人『升田幸三ますだこうぞう』が、テレビ出演の際に語った言葉
雲外蒼天, うんがいそうてん, 努力して試練を乗り越えれば、快い青空が望めるという意味。 雲はさまざまな障害や悩みを暗示している
運斤成風, うんきんせいふう, 常人離れした素晴らしい技術。大工の凄腕
雲合霧集, うんごうむしゅう, 雲や霧があっという間に立ち込めるように、多くの人や物が一度に群れ集まること
雲散霧消, うんさんむしょう, 雲や霧が消え去るように、物事が跡形もなく消えてしまうこと
雲集霧散, うんしゅうむさん, 人々が集合と解散を繰り返すこと。 「雲のごとく集まり霧のごとく散んず」と訓読する
雲蒸竜変, うんじょうりゅうへん, 雲が沸き上がり竜がそれに乗って変幻自在な動きをすること。 英雄や豪傑が機会を得て世に出て活躍する喩え
雲中白鶴, うんちゅうはっかく, 雲間を優美な姿で飛翔する白鶴のイメージから、品性の優れた高尚な人物、婦人をさす言葉
雲泥万里, うんでいばんり, 天と地が遠く隔たっているほどに、二つのものの差が大きいこと。極端に違うものの喩え
運否天賦, うんぷてんぷ, 人の幸運や不運は天によって定められ、与えられるものだということ。 また、運を天に任せること
雲遊萍寄, うんゆうひょうき, 仏教用語で、物事に執着せずに自然のままに行動することを意味する
英華発外, えいかはつがい, 内面の美しさが表面にも溢れ出ること。 もともとの意味は、人を感動させる素晴らしい音楽について語った言葉
永久不変, えいきゅうふへん, いつまでも、どれだけ時間がたっても変わらないこと。 「永久」は、果てしなく長い時間
永劫回帰, えいごうかいき, 宇宙の全ての事象は循環運動を行なっていて、物事は永遠に同じ事の繰り返しであるが、今の人生を肯定して一瞬一瞬を大切にし...
永代供養, えいたいくよう, 長い年月に渡って、故人の死後の幸福を祈り続けること
英明闊達, えいめいかったつ, 聡明で、小さな物事に執着しない大らかな性格。 同義語：「英邁闊達えいまいかったつ」「英邁豁達えいまいかったつ」
英雄欺人, えいゆうぎじん, 傑出した能力を持つ人は常人の思いつかない奇抜な計略や行動をとって意表をつくという意味
英雄好色, えいゆうこうしょく, 偉大な業績を成し遂げる人は何事にも精力旺盛であるから、女性を好む傾向も強いという意味
易姓革命, えきせいかくめい, 主に中国において、王朝の交代のことを意味する
会者定離, えしゃじょうり, 命あるものは必ず死に、出会った者は必ず別れることになるという意味
越犬吠雪, えっけんはいせつ, 無知であると当たり前のことに疑いを抱いてしまうこと
越鳥南枝, えっちょうなんし, 故郷を懐かしく思う気持ち
烏帽子親, えぼしおや, 江戸時代ごろの風習で、武家で男子が元服するとき、烏帽子をかぶせてやり、烏帽子名をつける仮の親
円転滑脱, えんてんかつだつ, 物事が停滞することなく、順調に進行すること。 言葉や行動が、相手に合わせて自由自在に変化し、滑らかに進む様子
鉛刀一割, えんとういっかつ, 切れ味の悪い鉛の鈍刀でも、一度くらいは物を切るのに使えるという意味。 自分の微力を謙遜して使う言葉
円融三諦, えんにゅうさんたい, 仏教用語で、天台宗で説く三つの真理のこと
延年転寿, えんねんてんじゅ, 仏教用語で、長寿を祈願し祝福する言葉。 仏の加護を受けて、さらに長生きして健やかに暮らすことを意味する
縁木求魚, えんぼくきゅうぎょ, 実現不可能なこと。 誤った手段では目的が達成できないことの喩え
円木警枕, えんぼくけいちん, 勉学に一所懸命励むこと。 中国の宋の司馬光が丸太を枕にして勉学に励んだという故事から
延命息災, えんめいそくさい, 寿命を延ばし、災いを除くこと。 仏や神に、日々を何事もなく平穏に過ごせるように祈る言葉
遠慮会釈, えんりょえしゃく, 慎ましく控え目にして、他人を思いやること
遠慮近憂, えんりょきんゆう, よく先のことまで考えて行動しないと、必ず急な心配事が起こって苦しむことになるという孔子の言葉
花魁道中, おいらんどうちゅう, 位の高い遊女が美しく着飾って馴染み客を迎えに行くこと。 「揚屋入り」「滑り道中」とも言う
応機接物, おうきせつもつ, 仏教用語で、相手に応じて適切な方法で教育すること。 「機きに応じ物に接す」と訓読みする
応急措置, おうきゅうそち, 急場の間に合わせに行う仮の処置。 類義語：「応急処置」「緊急措置」
横行闊歩, おうこうかっぽ, 威張って自分勝手に歩き回ること。または思いのままに振舞うこと
王侯将相, おうこうしょうしょう, 勢力のある人々のこと。 高貴な身分は才能や努力などで決まるということ
往生素懐, おうじょうそかい, 仏教に帰依し、死後は極楽浄土に生まれ変わりたいという願いのこと
応接不暇, おうせつふか, 次から次へと来訪者があり、一人ずつ対応できない様子。 非常に多忙なことの喩え
横難横死, おうなんおうし, 仏教用語で、予期しない災難や事故などにより死亡すること。非業の死
横眉怒目, おうびどもく, 厳しい表情や怒りをみなぎらせた顔つきのこと。 「横眉」は眉を吊り上げること
応病与薬, おうびょうよやく, 医者が、病気の症状に応じて、その病気に合った薬を与えること。 同義語：「因病下薬いんびょうかやく」
王門伶人, おうもんれいじん, 権力者や裕福な者に追従する人。 太鼓持ちのこと
大風呂敷, おおぶろしき, 実現できそうにない大袈裟な話題や計画。誇張して話すこと
屋上架屋, おくじょうかおく, 屋根の上に屋根を作るという意味で、重ねて無駄なことをする喩え。 また、独創性のないことを意味する
屋粱落月, おくりょうらくげつ, 親しい人を深く思いやる気持ちが切実なことの喩え
音位転換, おんいてんかん, ある単語を構成する音素の並び順が入れ替わってしまうこと
恩威並行, おんいへいこう, 恩賞と刑罰とを適切に与えること。 飴と鞭を適切に用いること
温厚篤実, おんこうとくじつ, 穏やかな性格で、情けが深いこと。 「温厚」は穏やかで優しく、情が深いこと
恩讎分明, おんしゅうぶんめい, 恩には恩で、仇あだには仇あだで、それぞれに必ず報いること
怨親平等, おんしんびょうどう, 敵も味方も同じように処遇すること。 もとは仏教用語で、敵味方の区別なく平等に慈しみ、極楽往生させることを意味する
温凊定省, おんせいていせい, 親孝行をすること
音吐朗朗, おんとろうろう, 声が明瞭で、遠くまではっきりと響き渡る様子。 「音吐」は発声、音声、また声の出し方のこと
乳母日傘, おんばひがさ, 幼い子供、特に幼児を必要以上に大切に育てること。過保護
温和丁寧, おんわていねい, 穏やかで優しく、心が行き届いていること。 「温和」は、穏やかで優しいこと
解衣推食, かいいすいしょく, 自分の着物を着せてあげたり、自分の食べ物を人に恵んだりするように、厚い恩恵を施すことをいう
開巻有益, かいかんゆうえき, 本を開けば必ず得るところがある。読書は有益であるということ
海外奇談, かいがいきだん, 海外の奇妙な話。何の根拠もないデタラメな話
皆既月食, かいきげっしょく, 太陽からの光によってできた地球の影の中を月が通過するときに見られる現象
皆既日食, かいきにっしょく, 太陽、月、地球がほぼ一直線上に並んだとき、地球から見て、月が太陽の前を通り、その一部または全部を覆い隠す現象
開眼供養, かいげんくよう, 新たに仏像や仏画を作ったときに、最後に目を入れて仏の魂を迎え入れる儀式のこと
開源節流, かいげんせつりゅう, 財源を開拓して収入を増やし、支出を抑える健全財政のこと
解甲帰田, かいこうきでん, 除隊または退役して故郷へ帰り平和に暮らすこと。 「解甲」は武装を解くこと、または役職を辞することの喩え
懐古趣味, かいこしゅみ, 昔を懐かしみ、古い情緒に浸ること。古いものに対する趣味
解語之花, かいごのはな, 人の言葉を理解する花。転じて美女の喩え
灰心喪気, かいしんそうき, 失意のあまり元気をなくすこと。 「灰心」は火の消えた灰のように元気のない心
海誓山盟, かいせいさんめい, 海や山がいつまでも変わらないように、固く愛を誓うこと。 同義語：「海約山盟かいやくさんめい」
海内無双, かいだいむそう, この世で比べるものがないほど優れていること。 「海内」は四海の内の意味から転じて、この世のこと
喙長三尺, かいちょうさんじゃく, 喙くちばしの長さが三尺もあるという意味で、口が達者なことの喩え
海底撈月, かいていろうげつ, 実現不可能なことに労力を費やして無駄に終わること。 海面に映っている月をすくい上げようとするという意味から
回天之力, かいてんのちから, 世の中の情勢を一変させるほどの大きな力。または、困難な状況や衰えた勢いを一気に盛り返す大きな力
開天闢地, かいてんへきち, 天地の始まり。または、過去に一度も起こっていない出来事
改頭換面, かいとうかんめん, 表面だけを改めて、内容が変わらないこと。 古い顔が新しい顔に変わり改まるという意味
開物成務, かいぶつせいむ, 様々なことを開発し、事業を成し遂げること。開成
懐宝夜行, かいほうやこう, 宝を懐に入れて夜道を歩くこと。危険を冒すことの喩え
怪力乱神, かいりょくらんしん, 人の知識では説明することができない不思議な現象のこと
夏雲奇峰, かうんきほう, 詩人の陶淵明が四季をうたった詩の夏の句。 夏に発生する入道雲が作り出す珍しい形のこと
花顔柳腰, かがんりゅうよう, 花のように美しい顔と、柳のように細い腰という意味。 美人の喩え
科挙圧巻, かきょあっかん, 試験で最もすぐれた成績を収めること。 「科挙」は古代中国、隋の時代に行われはじめた官吏の登用試験のこと
蝸牛角上, かぎゅうかくじょう, 取るに足らない争い。小競り合い
隔岸観火, かくがんかんか, 兵法三十六計の第九計。 「岸を隔てて火を観る」と訓読する
廓然大公, かくぜんたいこう, 不満や疑念などなく、公平な性格のこと。 聖人の道を学ぶ者の心構え
格致日新, かくちにっしん, 物事の本質や真理を追究し、常に向上し続けること。 「格致日に新たなり」と訓読する
格調高雅, かくちょうこうが, 主に詩や文章などの表現が格調高く、優雅で品があることを意味する
格物致知, かくぶつちち, 古代中国における思想史上の術語。格致かくちとも略される
